id,title,price,discount,delivery,brand,description,disponibilite,ean,ecoMobilier,images,quantity,reference
67,Spray Hygiène Maison,13.49,,Livraison à domicile,CleanZen,"Produit écologique adapté pour tous types de surfaces.
Nettoie efficacement sans laisser de résidus.
Idéal pour un usage domestique ou professionnel.",True,1426727906222,1,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/produits-page-img//9.png""]",1,03013ZO
68,Produit D’entretien Universel,149.99,,Livraison offerte,NettoieTout,"Produit écologique adapté pour tous types de surfaces.
Nettoie efficacement sans laisser de résidus.
Idéal pour un usage domestique ou professionnel.",True,7677187401026,1,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/produits-page-img//12.png""]",1,66946FC
69,Gel Nettoyant Naturel,29.49,,Livraison offerte,BioNet,"Produit écologique adapté pour tous types de surfaces.
Nettoie efficacement sans laisser de résidus.
Idéal pour un usage domestique ou professionnel.",True,2329631219205,1,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/produits-page-img//13.png""]",1,50304QD
70,Gel Nettoyant Naturel,139.9,,Livraison offerte,VertEssence,"Produit écologique adapté pour tous types de surfaces.
Nettoie efficacement sans laisser de résidus.
Idéal pour un usage domestique ou professionnel.",True,9166466941390,1,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/produits-page-img//14.png""]",1,18341YI
71,Gel Nettoyant Naturel,62.79,12.79%,Livraison offerte,PureHouse,"Produit écologique adapté pour tous types de surfaces.
Nettoie efficacement sans laisser de résidus.
Idéal pour un usage domestique ou professionnel.",True,5732009981967,1,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/produits-page-img//9.png""]",1,74547WD
72,Gel Nettoyant Naturel,92.61,19.56%,Livraison offerte,CleanZen,"Produit écologique adapté pour tous types de surfaces.
Nettoie efficacement sans laisser de résidus.
Idéal pour un usage domestique ou professionnel.",True,9527903605580,1,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/produits-page-img//8.png""]",1,50620NN
73,Produit D’entretien Universel,324.96,22.51%,Livraison offerte,ZenClean,"Produit écologique adapté pour tous types de surfaces.
Nettoie efficacement sans laisser de résidus.
Idéal pour un usage domestique ou professionnel.",True,5753720894648,1,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/produits-page-img//7.png""]",1,27133TK
74,Aspirateur Ryobi,25.41,50.21%,Livraison offerte,ÉcoBrio,"Produit écologique adapté pour tous types de surfaces.
Nettoie efficacement sans laisser de résidus.
Idéal pour un usage domestique ou professionnel.",True,2407716579899,1,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/produits-page-img//21.png""]",1,12782JA
75,Produit D’entretien Universel,29.99,,Livraison offerte,MaisonVerte,"Produit écologique adapté pour tous types de surfaces.
Nettoie efficacement sans laisser de résidus.
Idéal pour un usage domestique ou professionnel.",True,8165967393554,1,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/produits-page-img//11.png""]",1,52962DN
76,Produit D’entretien Universel,29.99,,Livraison offerte,BioNet,"Produit écologique adapté pour tous types de surfaces.
Nettoie efficacement sans laisser de résidus.
Idéal pour un usage domestique ou professionnel.",True,6068453991750,1,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/produits-page-img//20.png""]",1,69885HQ
77,Spray Hygiène Maison,9.49,50.54%,Livraison offerte,ÉcoBrio,"Produit écologique adapté pour tous types de surfaces.
Nettoie efficacement sans laisser de résidus.
Idéal pour un usage domestique ou professionnel.",True,3939581098645,1,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/produits-page-img//19.png""]",1,07350JC
78,Produit D’entretien Universel,24.99,,Livraison offerte,ÉcoBrio,"Produit écologique adapté pour tous types de surfaces.
Nettoie efficacement sans laisser de résidus.
Idéal pour un usage domestique ou professionnel.",True,5713978547520,1,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/produits-page-img//17.jpg""]",1,81619TX
79,Spray Hygiène Maison,21.96,63.69%,Livraison offerte,PureHouse,"Produit écologique adapté pour tous types de surfaces.
Nettoie efficacement sans laisser de résidus.
Idéal pour un usage domestique ou professionnel.",True,5637736531423,1,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/produits-page-img//16.png""]",1,94221KV
80,Nettoyant Enzymatique Concentré,13.96,48.17%,Livraison offerte,ÉcoBrio,"Produit écologique adapté pour tous types de surfaces.
Nettoie efficacement sans laisser de résidus.
Idéal pour un usage domestique ou professionnel.",True,9688580922524,1,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/produits-page-img//16.png""]",1,90636ET
81,Spray Hygiène Maison,24.99,23.81%,Livraison offerte,ÉcoPur,"Produit écologique adapté pour tous types de surfaces.
Nettoie efficacement sans laisser de résidus.
Idéal pour un usage domestique ou professionnel.",True,9828503878528,1,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/produits-page-img//5.png""]",1,61991FN
82,Nettoyant Enzymatique Concentré,24.99,,Livraison offerte,NettoieTout,"Produit écologique adapté pour tous types de surfaces.
Nettoie efficacement sans laisser de résidus.
Idéal pour un usage domestique ou professionnel.",True,2533272251796,1,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/produits-page-img//1.png""]",1,43986FH
83,Spray Hygiène Maison,24.99,,Livraison offerte,NettoieTout,"Produit écologique adapté pour tous types de surfaces.
Nettoie efficacement sans laisser de résidus.
Idéal pour un usage domestique ou professionnel.",True,8965098511000,1,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/produits-page-img//3.png""]",1,19764XZ
84,Produit D’entretien Universel,24.99,,Livraison offerte,NettoieTout,"Produit écologique adapté pour tous types de surfaces.
Nettoie efficacement sans laisser de résidus.
Idéal pour un usage domestique ou professionnel.",True,8899398401685,1,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/produits-page-img//4.png""]",1,86846MT
85,Spray Hygiène Maison,21.99,20.81%,Livraison offerte,VertEssence,"Produit écologique adapté pour tous types de surfaces.
Nettoie efficacement sans laisser de résidus.
Idéal pour un usage domestique ou professionnel.",True,1710552602996,1,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/produits-page-img//4.png""]",1,82191WI
86,Nettoyant Enzymatique Concentré,24.99,,Livraison offerte,NatureClean,"Produit écologique adapté pour tous types de surfaces.
Nettoie efficacement sans laisser de résidus.
Idéal pour un usage domestique ou professionnel.",True,6593599584246,1,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/produits-page-img//6.png""]",1,08073BW
